timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1776019926.694535,10.0.134.162,10.0.19.33,UDP,541,255,,,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.694535,10.0.136.154,10.0.19.33,UDP,541,255,,,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.939817,10.0.19.33,35.186.224.35,TCP,97,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.95019,10.0.19.33,8.8.8.8,TCP,78,64,S,8192.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.951149,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.951281,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.951352,10.0.19.33,18.66.41.105,TCP,54,128,FA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.953339,35.186.224.35,10.0.19.33,TCP,60,64,A,293.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.953985,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.954083,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.954117,10.0.19.33,18.66.41.105,TCP,54,128,FA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.955433,18.66.41.105,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.955433,18.66.41.105,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.955507,10.0.19.33,18.66.41.105,TCP,54,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.956446,8.8.8.8,10.0.19.33,TCP,60,64,SA,29200.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.956906,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.956979,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.957009,10.0.19.33,18.172.78.102,TCP,54,128,FA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.958609,18.66.41.105,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.958609,18.66.41.105,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.958662,10.0.19.33,18.66.41.105,TCP,54,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.958947,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.959002,10.0.19.33,18.66.41.105,TCP,94,128,PA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.959027,10.0.19.33,18.66.41.105,TCP,54,128,FA,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.960438,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.960504,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.960528,10.0.19.33,18.172.78.102,TCP,54,128,FA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.961895,18.172.78.102,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.961895,18.172.78.102,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.961943,10.0.19.33,18.172.78.102,TCP,54,128,A,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963092,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963135,10.0.19.33,18.172.78.102,TCP,94,128,PA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963155,10.0.19.33,18.172.78.102,TCP,54,128,FA,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963315,18.66.41.105,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963315,18.66.41.105,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.963358,10.0.19.33,18.66.41.105,TCP,54,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.965824,18.172.78.102,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.965824,18.172.78.102,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.965856,10.0.19.33,18.172.78.102,TCP,54,128,A,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019926.967227,18.172.78.102,10.0.19.33,TCP,60,64,A,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.043559,18.172.78.102,10.0.19.33,TCP,60,64,FA,249.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.043756,10.0.19.33,18.172.78.102,TCP,54,128,A,251.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.219025,10.0.19.33,8.8.8.8,TCP,78,64,S,8192.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.30695,35.186.224.35,10.0.19.33,TCP,94,64,PA,293.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.358716,10.0.19.33,35.186.224.35,TCP,54,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.638783,10.0.19.33,23.55.246.105,TCP,55,128,A,509.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.641625,35.186.224.35,10.0.19.33,TCP,94,64,PA,293.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019927.641667,10.0.19.33,35.186.224.35,TCP,66,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019928.483544,10.0.19.33,8.8.8.8,TCP,78,64,S,8192.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019928.486654,23.55.246.105,10.0.19.33,TCP,66,64,A,898.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019929.386129,10.0.19.33,35.186.224.22,TCP,55,128,A,252.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019929.394809,8.8.8.8,10.0.19.33,TCP,60,64,SA,29200.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019929.648767,10.0.19.33,8.8.8.8,TCP,78,64,S,8192.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
1776019929.653805,35.186.224.22,10.0.19.33,TCP,66,64,A,1913.0,in,8188d2096f3a48f184f94af3ffaaf27b,2026-04-12T18:52:06
