timestamp,experiment_id,source_location,protocol,dst_ip,packet_size,probe_index,success,rtt_ms,send_timestamp,recv_timestamp
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,10,False,,206737.937,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,11,False,,206739.203,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,12,False,,206740.468,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,13,False,,206741.734,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,14,False,,206742.984,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,15,False,,206744.328,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,16,False,,206745.656,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,17,False,,206746.906,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,18,False,,206748.171,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,19,False,,206749.468,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,20,False,,206750.718,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,21,False,,206752.0,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,22,False,,206753.265,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,23,False,,206754.531,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,24,False,,206755.796,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,25,False,,206757.078,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,26,False,,206758.328,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,27,False,,206759.625,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,28,False,,206760.875,
2026-07-03T11:37:54,11ea821bd4ff4825b8743e3fb7bb033e,sg,tcp,8.8.8.8,128,29,False,,206762.156,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,0,False,,206763.187,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,1,False,,206764.453,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,2,False,,206765.703,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,3,False,,206767.015,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,4,False,,206768.281,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,5,False,,206769.531,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,6,False,,206770.796,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,7,False,,206772.046,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,8,False,,206773.312,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,9,False,,206774.562,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,10,False,,206775.843,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,11,False,,206777.093,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,12,False,,206778.359,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,13,False,,206779.625,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,14,False,,206780.89,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,15,False,,206782.156,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,16,False,,206783.437,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,17,False,,206784.718,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,18,False,,206786.015,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,19,False,,206787.281,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,20,False,,206788.578,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,21,False,,206789.859,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,22,False,,206791.14,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,23,False,,206792.406,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,24,False,,206793.671,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,25,False,,206794.953,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,26,False,,206796.218,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,27,False,,206797.5,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,28,False,,206798.781,
2026-07-03T11:38:32,787f4c2028e349edbc183f9bcaef88c3,sg,tcp,8.8.8.8,256,29,False,,206800.078,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,0,False,,206801.093,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,1,False,,206802.39,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,2,False,,206803.64,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,3,False,,206804.921,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,4,False,,206806.359,
2026-07-03T11:39:10,8aadbae794ad4bd197c28a7519b88b30,sg,tcp,8.8.8.8,512,5,False,,206807.625,
